neighborhood,total_students_enrolled
Carrick,541.0
Brookline,526.0
Carrick,378.0
Beechview,339.0
Brookline,310.0
Brighton Heights,296.0
Carrick,293.0
Squirrel Hill South,286.0
Homewood North,282.0
Brookline,276.0
East Hills,275.0
Sheraden,275.0
Knoxville,257.0
Northview Heights,254.0
Squirrel Hill South,249.0
East Liberty,247.0
Crafton Heights,230.0
Hazelwood,221.0
Homewood South,218.0
Marshall-Shadeland,218.0
Beechview,215.0
Garfield,211.0
Mt. Oliver Borough,209.0
Lincoln-Lemington-Belmar,208.0
Greenfield,206.0
Sheraden,205.0
Terrace Village,200.0
Beechview,196.0
Mount Washington,195.0
Hazelwood,194.0
Wilkinsburg Borough,194.0
Perry South,189.0
Perry North,182.0
Highland Park,177.0
Knoxville,175.0
Knoxville,169.0
Point Breeze,162.0
Squirrel Hill North,158.0
Greenfield,157.0
Sheraden,156.0
Crafton Heights,154.0
Hazelwood,152.0
Brighton Heights,151.0
Garfield,148.0
Mt. Oliver Borough,144.0
Lincoln-Lemington-Belmar,144.0
Homewood North,140.0
Stanton Heights,139.0
Northview Heights,136.0
Highland Park,133.0
Allentown,133.0
Larimer,133.0
Homewood North,131.0
East Hills,130.0
Lincoln-Lemington-Belmar,128.0
Garfield,128.0
Westwood,126.0
Bloomfield,125.0
Middle Hill,123.0
Homewood South,122.0
East Hills,120.0
Overbrook,120.0
Northview Heights,119.0
Marshall-Shadeland,119.0
Crafton Heights,119.0
Perry South,119.0
Brighton Heights,119.0
Spring Hill-City View,116.0
Shadyside,116.0
Squirrel Hill South,115.0
Mt. Oliver Borough,113.0
East Liberty,113.0
Bedford Dwellings,112.0
Mount Washington,110.0
Squirrel Hill North,109.0
Lincoln Place,108.0
Perry South,108.0
Greenfield,108.0
Beltzhoover,106.0
Mount Washington,105.0
East Liberty,104.0
Marshall-Shadeland,99.0
Point Breeze,99.0
Terrace Village,98.0
Elliott,98.0
Wilkinsburg Borough,98.0
Crawford-Roberts,98.0
Stanton Heights,93.0
Perry North,91.0
Homewood South,91.0
Banksville,88.0
Allentown,84.0
Perry North,83.0
South Side Slopes,83.0
Morningside,82.0
Lincoln Place,78.0
Stanton Heights,75.0
Arlington,74.0
Overbrook,74.0
Central Northside,73.0
Highland Park,72.0
Overbrook,70.0
Upper Hill,70.0
Beltzhoover,70.0
Beltzhoover,69.0
Allentown,67.0
Terrace Village,67.0
Manchester,66.0
Bloomfield,65.0
Carrick,64.0
Westwood,62.0
Crawford-Roberts,62.0
Squirrel Hill North,61.0
Elliott,60.0
Arlington,60.0
Spring Hill-City View,60.0
Elliott,59.0
Homewood West,58.0
Sheraden,58.0
Larimer,57.0
Brookline,57.0
Troy Hill,56.0
Westwood,55.0
California-Kirkbride,55.0
Central Lawrenceville,54.0
Larimer,54.0
South Side Flats,53.0
Fineview,53.0
Point Breeze North,52.0
Point Breeze North,52.0
South Side Slopes,52.0
Lincoln Place,51.0
Crawford-Roberts,51.0
Upper Lawrenceville,51.0
Bloomfield,50.0
Arlington,49.0
Bedford Dwellings,48.0
Bedford Dwellings,48.0
Spring Hill-City View,47.0
Lower Lawrenceville,47.0
Fairywood,46.0
Homewood South,46.0
Central Lawrenceville,46.0
Shadyside,45.0
Point Breeze,45.0
Middle Hill,44.0
Manchester,44.0
Beechview,44.0
Troy Hill,44.0
Oakwood,44.0
East Hills,44.0
Banksville,43.0
Morningside,43.0
South Side Slopes,42.0
Perry North,41.0
Middle Hill,41.0
Troy Hill,41.0
Duquesne Heights,41.0
Upper Hill,40.0
Windgap,40.0
South Oakland,40.0
Morningside,40.0
South Side Flats,40.0
Manchester,39.0
Allegheny Center,39.0
Banksville,39.0
Shadyside,39.0
New Homestead,38.0
Homewood North,36.0
Crafton Heights,36.0
Swisshelm Park,36.0
Terrace Village,36.0
Spring Garden,34.0
Central Northside,34.0
Central Lawrenceville,34.0
Upper Hill,34.0
East Allegheny,34.0
California-Kirkbride,33.0
Garfield,33.0
East Liberty,32.0
Brighton Heights,32.0
Windgap,31.0
Marshall-Shadeland,31.0
Highland Park,30.0
California-Kirkbride,29.0
Bluff,29.0
Squirrel Hill South,29.0
Lincoln-Lemington-Belmar,28.0
Glen Hazel,28.0
Windgap,27.0
Central Northside,27.0
Homewood West,27.0
Perry South,27.0
Regent Square,27.0
West Oakland,26.0
Westwood,26.0
Upper Lawrenceville,26.0
Stanton Heights,25.0
Point Breeze North,25.0
Mount Oliver,24.0
Mount Oliver,24.0
Upper Lawrenceville,24.0
Polish Hill,23.0
South Oakland,23.0
Allegheny Center,23.0
Fairywood,22.0
Duquesne Heights,22.0
Glen Hazel,22.0
Arlington Heights,21.0
Mount Oliver,21.0
Homewood West,21.0
Bloomfield,21.0
Middle Hill,20.0
Friendship,20.0
Friendship,20.0
New Homestead,20.0
East Allegheny,20.0
Lower Lawrenceville,18.0
Bon Air,18.0
Fineview,18.0
Northview Heights,18.0
Glen Hazel,18.0
Fairywood,18.0
Bon Air,18.0
Allegheny Center,18.0
Bon Air,17.0
Crawford-Roberts,17.0
Oakwood,17.0
West End,17.0
Shadyside,17.0
Spring Hill-City View,16.0
Lower Lawrenceville,16.0
South Side Flats,16.0
Central Northside,16.0
Spring Garden,16.0
Greenfield,16.0
Summer Hill,16.0
Hays,15.0
East Allegheny,15.0
Chartiers City,15.0
Knoxville,15.0
Morningside,14.0
Fineview,14.0
West Oakland,14.0
Hays,14.0
Duquesne Heights,14.0
Manchester,13.0
South Oakland,13.0
Summer Hill,13.0
Saint Clair,13.0
Mt. Oliver Borough,13.0
Homewood West,12.0
Elliott,12.0
Larimer,12.0
Spring Garden,12.0
Windgap,12.0
East Carnegie,12.0
Summer Hill,12.0
Fineview,12.0
Bedford Dwellings,12.0
Polish Hill,11.0
Point Breeze,11.0
Upper Lawrenceville,11.0
Hays,11.0
Wilkinsburg Borough,11.0
Bluff,11.0
Friendship,11.0
West Oakland,11.0
